chainage (m),Q (m3/s),flood levels (masl)
33764.91218715933,11987.326243051455,119.4194479340774
26288.589896198457,19360.857478589336,126.51228178585254
10196.60710386487,9819.983183220433,121.53935765730681
31064.758121031035,7796.061423349569,117.52175109638797
34920.19377309657,11277.565921921398,118.79818592188013
27120.955768337164,13326.055317707125,120.62916652761015
548.7342208986422,7943.716695701401,118.98614506979197
32489.040841934424,10528.269236904514,118.73323834266992
24591.346838371504,10236.646244880467,117.5900285222169
8887.511691044678,13679.132595245974,122.34924127012418
29982.25737235236,15276.872120663278,123.67290800074795
2826.643696240954,9175.593604221353,122.49184432269104
29209.819451580057,4941.975478507027,115.17287806988632
21750.879893398065,12671.749897152995,120.95861699130276
31226.583854641143,15659.900400798979,125.05138336478502
12339.996942397005,14690.565077542007,127.4037092356916
9172.668768441588,7441.375456980841,117.72564563257058
8863.009927850875,12235.872353554654,120.57623402281003
22293.45079132778,11279.242041395877,119.71135362198044
3962.6360918325468,4997.144454526886,117.87183826465835
22220.120482717695,16300.847998270287,123.48719058223264
27113.181135891784,11971.835300849156,121.04059301840172
18835.899574824558,13947.284706459233,120.65566743588019
9219.872188093072,8750.01590404979,118.51355083790502
7899.621562709753,13358.144214849686,121.79004032760756
28517.57105593967,6516.189090296348,117.53820406731418
1281.7562533337132,6449.775271007455,119.14752544725498
25067.91246113032,10308.487756394974,118.72691639175149
28550.222774586935,12317.365274551921,122.44595767266871
21162.801008167095,7546.877302738363,117.84617788764453
11687.571418613783,15338.030187120507,125.26039644892296
13117.985609958698,11979.381527074122,125.02929771228004
22473.331700551837,8809.410348935735,117.93973054994235
29641.469269481055,11953.983092949562,120.99606886208527
7805.430715159123,13313.082710914503,121.92359397463169
30839.216693059385,4878.850970762011,114.00266944341588
18385.003010660595,9219.853904667743,117.98816580195125
32849.41013021263,8302.560372546037,116.20400843947624
15210.249406555973,12144.637816557197,120.75611082629183
9437.976986144267,15576.153390550808,123.66266235746205
5359.920211761849,7968.528658574406,118.67974378544233
23165.50797873072,7152.765195481319,115.78081603060868
9723.027641467605,11048.53334536405,120.61005246239557
5021.3831669892015,8781.453809011216,119.74286133721546
29050.066452263192,9142.839283023495,118.69034276804025
1356.544675050878,9150.601254930249,121.4090164659647
6107.639223735086,16307.883064593821,124.64939878981443
28140.197868192216,14269.710929785873,124.31647911773251
27778.192383375175,9798.451977160248,119.27288801300257
28671.930184744386,10023.797219503314,120.6226643064287
1974.231269901562,9685.358222995663,122.83647190692513
22185.645689489626,9396.806662028574,118.5014992807339
4951.946592153326,10296.087246436182,120.98863293457589
2015.1501350527028,10461.103359164921,123.99100827726083
22089.72154827536,11710.541229423596,120.1991909949501
2316.2673508517337,5926.684893902902,118.89174443058486
2825.943894289569,9569.945883959228,122.68783387360553
3536.5679342965445,8799.685983072863,122.0082889498435
3103.483486527001,4717.208754351664,117.95627535644462
26392.11442734038,4483.034938123971,114.09536255292507
33865.55326023344,10822.72113052992,118.16672984431575
24806.03054742025,18071.62513201184,122.80207541913117
9101.482045530909,9805.619995381223,120.25898332455579
4240.264650415174,7139.908957609755,118.90413826084983
1482.3439012491306,8711.906314611271,121.82893792554232
25382.331750737143,18817.68275778526,124.07651588009723
33713.18330660392,14705.107484698146,121.64481524419841
21083.17891352037,6121.890208000844,116.15356241833162
9588.900379552379,11125.676215603773,119.89545448955865
3971.935002340488,12037.270901764972,123.13758403993293
33184.32425555527,6393.035538611133,114.51269664557105
22474.87496333811,10244.39006503432,118.90319286977652
5970.610541922175,14904.667395858647,122.63405203080127
20404.431393901006,8451.153459579738,119.21293077290775
3361.0814284716394,15318.274547843976,126.22092304447185
33077.54400873694,13334.295002887608,120.48319719996542
22393.32125411775,11099.322574785489,120.16266657555524
10086.167250377544,10222.396824765327,122.11794062358851
11434.85202435576,12589.902507841593,123.26918411281612
34490.01498083264,8557.03764742623,117.11937370586666
25456.97645689825,5607.168316113912,114.69057874855751
24475.001500037433,10306.386964224996,118.1426843943723
4340.125043584709,14577.688493757947,123.90526629267855
32711.07238001218,12048.394578579195,119.3808120363673
33498.15592905847,16080.624036602732,122.57314765891816
6682.099125736708,10739.40159414398,121.18683044337952
26917.494887508063,10339.603967407136,119.2792112736632
2431.2207131276355,2328.9994277547157,115.04746337750557
28109.43380048841,3621.440729210656,115.08336289246144
9893.000417121622,13431.119777010963,122.25063136520738
9470.85575653262,8133.62155239687,118.61769226606579
15539.51848686542,6052.9318969955275,114.90278026685947
20509.68996164964,10068.612097881538,120.53217784792461
28059.76461740711,8289.00163580795,119.02737769594691
10042.617412000362,14062.028720322578,123.37843775250826
25810.98796835571,13375.147141694666,121.73688489944101
21428.329889196415,9757.94025554715,119.27341662469823
28451.551063206713,7348.826187958194,118.04697148702297
7448.564336533869,4459.875674671811,113.34953703427736
21497.920802619257,11685.785515995674,121.22092542859832
12182.142188687782,10913.579701597962,124.54227423871265
17699.53769909095,11770.98746360674,120.97245664337689
