chainage,thalweg_trend,percentile_100yr,percentile_200yr
60,106.51896188591874,127.26130509259946,128.06728938912855
61,106.51884856492694,127.26130509259946,128.06728938912855
62,106.51873524393514,127.26130509259946,128.06728938912855
63,106.51862192294334,127.26130509259946,128.06728938912855
64,106.51850860195154,127.26130509259946,128.06728938912855
65,106.51839528095974,127.26130509259946,128.06728938912855
66,106.51828195996794,127.26130509259946,128.06728938912855
67,106.51816863897614,127.26130509259946,128.06728938912855
68,106.51805531798433,127.26130509259946,128.06728938912855
69,106.51794199699253,127.26130509259946,128.06728938912855
70,106.51782867600073,127.26130509259946,128.06728938912855
71,106.51771535500893,127.26130509259946,128.06728938912855
72,106.51760203401713,127.26130509259946,128.06728938912855
73,106.51748871302533,127.26130509259946,128.06728938912855
74,106.51737539203353,127.26130509259946,128.06728938912855
75,106.51726207104173,127.26130509259946,128.06728938912855
76,106.51714875004993,127.26130509259946,128.06728938912855
77,106.51703542905813,127.26130509259946,128.06728938912855
78,106.51692210806632,127.26130509259946,128.06728938912855
79,106.51680878707452,127.26130509259946,128.06728938912855
80,106.51669546608272,127.26130509259946,128.06728938912855
81,106.51658214509092,127.26130509259946,128.06728938912855
82,106.51646882409912,127.26130509259946,128.06728938912855
83,106.51635550310732,127.26130509259946,128.06728938912855
84,106.51624218211552,127.26130509259946,128.06728938912855
85,106.51612886112372,127.26130509259946,128.06728938912855
86,106.51601554013192,127.26130509259946,128.06728938912855
87,106.51590221914012,127.26130509259946,128.06728938912855
88,106.51578889814832,127.26130509259946,128.06728938912855
89,106.51567557715651,127.26130509259946,128.06728938912855
90,106.51556225616471,127.26130509259946,128.06728938912855
91,106.51544893517293,127.26130509259946,128.06728938912855
92,106.51533561418113,127.26130509259946,128.06728938912855
93,106.51522229318932,127.26130509259946,128.06728938912855
94,106.51510897219752,127.26130509259946,128.06728938912855
95,106.51499565120572,127.26130509259946,128.06728938912855
96,106.51488233021392,127.26130509259946,128.06728938912855
97,106.51476900922212,127.26130509259946,128.06728938912855
98,106.51465568823032,127.26130509259946,128.06728938912855
99,106.51454236723852,127.26130509259946,128.06728938912855
100,106.51442904624672,127.26130509259946,128.06728938912855
101,106.51431572525492,127.26130509259946,128.06728938912855
102,106.51420240426312,127.26130509259946,128.06728938912855
103,106.51408908327132,127.26130509259946,128.06728938912855
104,106.51397576227951,127.26130509259946,128.06728938912855
105,106.51386244128771,127.26130509259946,128.06728938912855
106,106.51374912029591,127.26130509259946,128.06728938912855
107,106.51363579930411,127.26130509259946,128.06728938912855
108,106.51352247831231,127.26130509259946,128.06728938912855
109,106.51340915732051,127.26130509259946,128.06728938912855
110,106.51329583632871,127.26130509259946,128.06728938912855
111,106.51318251533691,127.26130509259946,128.06728938912855
112,106.5130691943451,127.26130509259946,128.06728938912855
113,106.5129558733533,127.26130509259946,128.06728938912855
114,106.5128425523615,127.26130509259946,128.06728938912855
115,106.5127292313697,127.26130509259946,128.06728938912855
116,106.5126159103779,127.26130509259946,128.06728938912855
117,106.5125025893861,127.26130509259946,128.06728938912855
118,106.5123892683943,127.26130509259946,128.06728938912855
119,106.5122759474025,127.26130509259946,128.06728938912855
120,106.5121626264107,127.26130509259946,128.06728938912855
121,106.5120493054189,127.26130509259946,128.06728938912855
