chainage (m),width (m),thalweg
6950,1147.5,104.498
6960,1146.2,104.469
6970,1143,104.441
6980,1139.8,104.411
6990,1136.7,104.382
7000,1135.1,104.352
7010,1132.4,104.323
7020,1129.6,104.294
7030,1127.2,104.265
7040,1124.5,104.236
7050,1121.6,104.207
7060,1119.5,104.177
7070,1118.6,104.148
7080,1116.7,104.119
7090,1131.2,104.09
7100,1135.1,104.061
7110,1137.3,104.032
7120,1140.1,104.002
7130,1152.6,103.973
7140,1156.8,103.944
7150,1163.4,103.915
7160,1178.2,103.886
7170,1201.5,103.856
7180,1221.3,103.827
7190,1238.3,103.798
7200,1247.9,103.769
7210,1256.4,103.739
7220,1265,103.711
7230,1277.9,103.681
7240,1296.7,103.653
7250,1305.6,103.623
7260,1306.8,103.593
7270,1308.2,103.565
7280,1308.9,103.535
7290,1309.9,103.506
7300,1311.8,103.477
7310,1313.8,103.448
7320,1312.2,103.419
7330,1307.5,103.39
7340,1302.9,103.36
7350,1298.2,103.331
7360,1293.6,103.302
7370,1288.9,103.273
7380,1284.3,103.243
7390,1279.8,103.214
7400,1275.1,103.186
7410,1270.5,103.156
7420,1265.8,103.127
7430,1261.2,103.098
7440,1256.5,103.068
7450,1252,103.039
7460,1247.2,103.01
7470,1242.6,102.981
7480,1237.9,102.951
7490,1233.1,102.922
7500,1228.2,102.893
7510,1223.3,102.864
7520,1218.6,102.835
7530,1213.7,102.806
7540,1208.9,102.776
7550,1204.1,102.747
7560,1199.2,102.718
7570,1194.4,102.689
7580,1189.6,102.66
7590,1184.8,102.631
7600,1180,102.602
7610,1175.3,102.572
7620,1170.5,102.543
7630,1165.7,102.514
7640,1160.9,102.485
7650,1156.1,102.456
7660,1151.3,102.426
7670,1146.4,102.397
7680,1141.5,102.368
7690,1136.6,102.339
7700,1131.8,102.309
7710,1127.2,102.28
7720,1121.2,102.251
7730,1115.2,102.222
7740,1109.3,102.193
7750,1103.3,102.164
7760,1097.5,102.135
7770,1091.5,102.105
7780,1085.9,102.076
7790,1080,102.047
7800,1074,102.018
7810,1068,101.989
7820,1062.3,101.959
7830,1056.3,101.93
7840,1050.4,101.901
7850,1044.6,101.872
7860,1038.5,101.842
7870,1032.5,101.814
7880,1026.6,101.784
7890,1020.4,101.755
7900,1014.1,101.725
7910,1008,101.697
7920,1001.6,101.667
7930,995.3,101.638
7940,989.3,101.609
7950,982.8,101.58
7960,976.3,101.551
7970,969.8,101.522
7980,963.3,101.492
7990,957.3,101.463
8000,952.8,101.434
8010,948.1,101.405
8020,943.4,101.376
8030,938.7,101.346
8040,937.4,101.334
8050,944.3,101.359
8060,950.9,101.386
8070,957.6,101.412
8080,964.3,101.438
8090,970.9,101.464
8100,977.5,101.49
8110,984.2,101.516
8120,990.9,101.542
8130,997.2,101.568
8140,1003.7,101.594
8150,1009.9,101.62
8160,1014.9,101.646
8170,1019.1,101.672
8180,1022.9,101.698
8190,1028.3,101.724
8200,1033.8,101.75
8210,1039.1,101.776
8220,1044.6,101.802
8230,1049.9,101.829
8240,1055.2,101.854
8250,1060.5,101.88
8260,1065.8,101.906
8270,1070.6,101.932
8280,1075.9,101.958
8290,1081.1,101.984
8300,1086.1,102.01
8310,1090.3,102.036
8320,1093.9,102.063
8330,1098.2,102.088
8340,1103,102.115
8350,1107.6,102.14
8360,1112.3,102.166
8370,1116.9,102.192
8380,1121.4,102.218
8390,1125.3,102.245
8400,1127.7,102.27
8410,1130.4,102.296
8420,1133.5,102.322
8430,1135.8,102.348
8440,1138.2,102.375
8450,1135.7,102.4
8460,1132,102.427
8470,1134.6,102.452
8480,1137.6,102.478
8490,1140,102.505
8500,1142.7,102.53
8510,1144.5,102.557
8520,1146.6,102.583
8530,1149.8,102.608
8540,1152.5,102.635
8550,1155.1,102.66
8560,1157.1,102.686
8570,1155.2,102.713
8580,1156.5,102.738
8590,1159.4,102.765
8600,1162.2,102.791
8610,1166,102.816
8620,1169.7,102.843
8630,1173.6,102.869
8640,1177.3,102.894
8650,1181,102.921
8660,1184.7,102.946
8670,1188.5,102.973
8680,1192.3,102.999
8690,1196.1,103.024
8700,1199.9,103.051
8710,1203.1,103.077
8720,1206.8,103.102
8730,1210.8,103.129
8740,1214.7,103.155
8750,1218.6,103.18
8760,1222.6,103.207
8770,1226.6,103.233
8780,1230.5,103.259
8790,1234.4,103.285
8800,1238.5,103.311
8810,1242.5,103.337
8820,1246.6,103.363
8830,1250.7,103.389
8840,1254.7,103.415
8850,1258.6,103.441
8860,1262.8,103.467
8870,1266.7,103.493
8880,1270.6,103.519
8890,1274.6,103.545
8900,1278.6,103.571
8910,1283,103.597
8920,1287.3,103.623
8930,1291.8,103.649
8940,1296.5,103.676
8950,1301.4,103.701
8960,1306.1,103.727
8970,1310.6,103.753
8980,1315,103.779
8990,1319.5,103.805
9000,1323.6,103.831
9010,1327.8,103.857
9020,1332.1,103.884
9030,1336.2,103.909
9040,1340.3,103.935
9050,1344.7,103.961
9060,1348.8,103.987
9070,1353.1,104.014
9080,1357.3,104.039
9090,1361.5,104.065
9100,1365.8,104.091
9110,1370.1,104.117
9120,1374.4,104.144
9130,1378.6,104.169
9140,1382.9,104.195
9150,1387.3,104.222
9160,1391.7,104.247
9170,1395.9,104.274
9180,1400.1,104.299
9190,1404.3,104.326
9200,1408.5,104.351
9210,1414.1,104.377
9220,1419.7,104.404
9230,1426.7,104.429
9240,1432.4,104.456
9250,1439.5,104.481
9260,1446.5,104.508
9270,1452.4,104.533
9280,1459.5,104.56
9290,1466.4,104.586
9300,1472.7,104.612
9310,1479.8,104.638
9320,1485.6,104.663
9330,1493.4,104.69
9340,1502,104.715
9350,1507.6,104.742
9360,1514.7,104.767
9370,1520.6,104.794
9380,1534.8,104.819
9390,1555.7,104.846
9400,1573.3,104.872
9410,1589.6,104.898
9420,1597.7,104.924
9430,1605.7,104.95
9440,1613.3,104.976
9450,1622.4,105.002
9460,1630.8,105.028
9470,1638.9,105.054
9480,1648.1,105.08
9490,1658.1,105.106
9500,1674.4,105.132
9510,1693.6,105.158
9520,1712.5,105.184
9530,1728.7,105.21
9540,1738.2,105.236
9550,1743.9,105.262
9560,1750.5,105.288
9570,1757,105.314
9580,1763.6,105.34
9590,1770.3,105.367
9600,1776.9,105.392
9610,1783.5,105.418
9620,1790.3,105.444
9630,1796.7,105.47
9640,1803.2,105.496
9650,1810,105.522
9660,1815.7,105.548
9670,1822.5,105.575
9680,1829,105.6
9690,1835.4,105.626
9700,1842.2,105.652
9710,1848.8,105.678
9720,1855.9,105.704
9730,1862.8,105.731
9740,1870,105.757
9750,1877,105.782
9760,1883.7,105.808
